Net_Name,Net_Pins
DDR4_DQ22,U1.AV14 U12.E3
DDR4_DQ23,U1.AU19 U12.E7
DDR4_DQ24,U1.AR23 U35.C2
DDR4_DQ25,U1.AR20 U35.B7
DDR4_DQ26,U1.AR24 U35.D3
DDR4_DQ27,U1.AP20 U35.D7
DDR4_DQ28,U1.AP23 U35.D2
DDR4_DQ29,U1.AR19 U35.D8
DDR4_DQ30,U1.AP24 U35.E3
DDR4_DQ31,U1.AP19 U35.E7
DDR4_DQ32,U1.AL37 U10.C2
DDR4_DQ33,U1.AH38 U10.B7
DDR4_DQ34,U1.AL38 U10.D3
DDR4_DQ35,U1.AH37 U10.D7
DDR4_DQ36,U1.AM37 U10.D2
DDR4_DQ37,U1.AG38 U10.D8
DDR4_DQ38,U1.AM38 U10.E3
DDR4_DQ39,U1.AG37 U10.E7
DDR4_DQ40,U1.AH35 U36.C2
DDR4_DQ41,U1.AL35 U36.B7
DDR4_DQ42,U1.AG35 U36.D3
DDR4_DQ43,U1.AL34 U36.D7
DDR4_DQ44,U1.AH34 U36.D2
DDR4_DQ45,U1.AM35 U36.D8
DDR4_DQ46,U1.AG34 U36.E3
DDR4_DQ47,U1.AM34 U36.E7
DDR4_DQ48,U1.AD37 U9.C2
DDR4_DQ49,U1.AA38 U9.B7
DDR4_DQ50,U1.AD38 U9.D3
DDR4_DQ51,U1.AA37 U9.D7
DDR4_DQ52,U1.AE37 U9.D2
DDR4_DQ53,U1.Y38 U9.D8
DDR4_DQ54,U1.AE38 U9.E3
DDR4_DQ55,U1.Y37 U9.E7
DDR4_DQ56,U1.AA35 U37.C2
DDR4_DQ57,U1.AD35 U37.B7
DDR4_DQ58,U1.Y35 U37.D3
DDR4_DQ59,U1.AD34 U37.D7
DDR4_DQ60,U1.AA34 U37.D2
DDR4_DQ61,U1.AE35 U37.D8
DDR4_DQ62,U1.Y34 U37.E3
DDR4_DQ63,U1.AE34 U37.E7
DDR4_DQS0_N,U1.AU10 U13.B3
DDR4_DQS0_P,U1.AV10 U13.C3
DDR4_DQS1_N,U1.AP15 U34.B3
DDR4_DQS1_P,U1.AR15 U34.C3
DDR4_DQS2_N,U1.AU17 U12.B3
DDR4_DQS2_P,U1.AV17 U12.C3
DDR4_DQS3_N,U1.AP22 U35.B3
DDR4_DQS3_P,U1.AR22 U35.C3
DDR4_DQS4_N,U1.AJ37 U10.B3
DDR4_DQS4_P,U1.AJ38 U10.C3
DDR4_DQS5_N,U1.AJ34 U36.B3
DDR4_DQS5_P,U1.AJ35 U36.C3
DDR4_DQS6_N,U1.AB37 U9.B3
DDR4_DQS6_P,U1.AB38 U9.C3
DDR4_DQS7_N,U1.AB34 U37.B3
DDR4_DQS7_P,U1.AB35 U37.C3
DDR4_DQS8_N,U1.AU24 U11.B3
DDR4_DQS8_P,U1.AV24 U11.C3
DDR4_MEMRESET_L,R161.1 TP968.1 U1.AL23 U9.L1 U10.L1 U11.L1 U12.L1 U13.L1 U34.L1 U35.L1 U36.L1 U37.L1
DDR4_ODT0,R214.1 U1.AV28 U9.F3 U10.F3 U11.F3 U12.F3 U13.F3 U34.F3 U35.F3 U36.F3 U37.F3
DDR4_ODT1,R215.1 U1.AU29 U9.F2 U10.F2 U11.F2 U12.F2 U13.F2 U34.F2 U35.F2 U36.F2 U37.F2
DDR4_PAR,R154.1 U1.AP37 U9.N3 U10.N3 U11.N3 U12.N3 U13.N3 U34.N3 U35.N3 U36.N3 U37.N3
ETH_1GB_AN,J5.10 U15.3
ETH_1GB_AP,J5.11 U15.2
ETH_1GB_BN,J5.5 U15.8
ETH_1GB_BP,J5.4 U15.7
ETH_1GB_CN,J5.2 U15.11
ETH_1GB_CP,J5.3 U15.10
ETH_1GB_DN,J5.9 U15.15
ETH_1GB_DP,J5.8 U15.14
